id                                  , postedDate          , title                                                                                                                                                                                                                             , agencyId, documentType     , lastModifiedDate
PTO-P-2023-0044-0055                , 2024-07-30T04:00:00Z, Comment by The High Tech Inventors Alliance                                                                                                                                                                                       , PTO     , Public Submission, 2024-07-30T13:50:29Z
PTO-P-2023-0044-0061                , 2024-07-30T04:00:00Z, Comment by Microsoft Corporation                                                                                                                                                                                                  , PTO     , Public Submission, 2024-07-30T14:00:32Z
PTO-P-2023-0044-0044                , 2024-07-29T04:00:00Z, Comment by American Bar Association Intellectual Property Law Section                                                                                                                                                             , PTO     , Public Submission, 2024-07-29T15:56:03Z
DEA-2024-0059-41066                 , 2024-07-23T04:00:00Z, Comment on FR Doc # 2024-11137                                                                                                                                                                                                    , DEA     , Public Submission, 2024-07-23T12:31:57Z
FINCEN-2024-0011-0017               , 2024-07-23T04:00:00Z, Comment on FR Doc # 2024-10738                                                                                                                                                                                                    , FINCEN  , Public Submission, 2024-07-23T13:42:00Z
DEA-2024-0059-39170                 , 2024-07-22T04:00:00Z, Comment on FR Doc # 2024-11137                                                                                                                                                                                                    , DEA     , Public Submission, 2024-07-22T18:43:20Z
FINCEN-2024-0011-0009               , 2024-07-22T04:00:00Z, Comment on FR Doc # 2024-10738                                                                                                                                                                                                    , FINCEN  , Public Submission, 2024-07-22T18:50:58Z
USTR-2024-0006-0034                 , 2024-07-17T04:00:00Z, Comment from ACT | The App Association                                                                                                                                                                                            , USTR    , Public Submission, 2024-07-17T20:01:01Z
FDA-2023-N-3902-10309               , 2024-07-12T04:00:00Z, "Comment from Eckert Seamans Cherin & Mellott, LLC"                                                                                                                                                                               , FDA     , Public Submission, 2024-07-12T14:17:09Z
PTO-P-2024-0003-0337                , 2024-07-10T04:00:00Z, Comment from Pharmaceutical Research and Manufacturers of America (PhRMA)                                                                                                                                                         , PTO     , Public Submission, 2024-07-10T11:24:58Z
PTO-P-2024-0003-0315                , 2024-07-10T04:00:00Z, Comment from Council for Innovation Promotion                                                                                                                                                                                     , PTO     , Public Submission, 2024-07-10T04:04:47Z
PTO-P-2024-0003-0320                , 2024-07-10T04:00:00Z, Comment from High Tech Inventors Alliance                                                                                                                                                                                         , PTO     , Public Submission, 2024-07-10T04:18:53Z
PTO-P-2024-0003-0303                , 2024-07-09T04:00:00Z, Comment from Advanced Medical Technology Association (AdvaMed)                                                                                                                                                                    , PTO     , Public Submission, 2024-07-10T03:20:05Z
PTO-P-2024-0003-0219                , 2024-07-09T04:00:00Z, "Comment from EnQuanta, a VoiceIt Technologies Company"                                                                                                                                                                           , PTO     , Public Submission, 2024-07-09T13:03:50Z
USCIS-2024-0006-1026                , 2024-07-08T04:00:00Z, Comment Submitted by Richard Caldarone                                                                                                                                                                                            , USCIS   , Public Submission, 2024-07-08T15:09:43Z
PHMSA-2022-0085-0035                , 2024-06-25T04:00:00Z, Comment from Environmental Defense Fund and Earthjustice                                                                                                                                                                          , PHMSA   , Public Submission, 2024-06-25T15:24:22Z
PTO-P-2023-0048-0083                , 2024-06-20T04:00:00Z, Comment by High Tech Inventors Alliance                                                                                                                                                                                           , PTO     , Public Submission, 2024-06-20T11:09:01Z
EPA-HQ-OAR-2014-0128-0472           , 2024-06-18T04:00:00Z, Comment submitted by Center for Biological Diversity (part 1)                                                                                                                                                                     , EPA     , Public Submission, 2024-06-19T00:32:21Z
OMB-2024-0004-0011                  , 2024-06-12T04:00:00Z, Comment on OMB-2024-0004-0001                                                                                                                                                                                                     , OMB     , Public Submission, 2024-06-12T15:00:55Z
BOEM-2024-0008-1110                 , 2024-06-07T04:00:00Z, Comment from Berkeley Township                                                                                                                                                                                                    , BOEM    , Public Submission, 2024-06-09T02:44:41Z
USTR-2024-0002-0266                 , 2024-06-04T04:00:00Z, Post-Hearing Comment from Global Data Alliance                                                                                                                                                                                    , USTR    , Public Submission, 2024-06-04T11:48:07Z
BOEM-2024-0009-0066                 , 2024-05-23T04:00:00Z, Comment from Green Oceans                                                                                                                                                                                                         , BOEM    , Public Submission, 2024-05-24T00:45:30Z
ETA-2023-0006-2038                  , 2024-05-17T04:00:00Z, Comment from Institute for Progress                                                                                                                                                                                               , ETA     , Public Submission, 2024-05-17T22:53:08Z
ETA-2023-0006-2051                  , 2024-05-17T04:00:00Z, Comment from American Institute of CPAs                                                                                                                                                                                           , ETA     , Public Submission, 2024-05-17T22:53:39Z
ETA-2023-0006-2016                  , 2024-05-17T04:00:00Z, Comment from FWD.us                                                                                                                                                                                                               , ETA     , Public Submission, 2024-05-17T22:52:19Z
ETA-2023-0006-2040                  , 2024-05-17T04:00:00Z, Comment from AFL-CIO                                                                                                                                                                                                              , ETA     , Public Submission, 2024-05-17T22:53:12Z
ETA-2023-0006-2052                  , 2024-05-17T04:00:00Z, Comment from Engine Advocacy                                                                                                                                                                                                      , ETA     , Public Submission, 2024-05-17T22:53:41Z
ETA-2023-0006-2004                  , 2024-05-17T04:00:00Z, Comment from Anonymous                                                                                                                                                                                                            , ETA     , Public Submission, 2024-05-17T22:51:51Z
ETA-2023-0006-2043                  , 2024-05-17T04:00:00Z, Comment from Bipartisan Policy Center                                                                                                                                                                                             , ETA     , Public Submission, 2024-05-17T22:53:19Z
EPA-HQ-OLEM-2024-0067-0150          , 2024-05-16T04:00:00Z, Comment submitted by City of Ann Arbor                                                                                                                                                                                            , EPA     , Public Submission, 2024-05-17T00:59:46Z
PTO-C-2024-0004-0044                , 2024-05-15T04:00:00Z, Comment by Lori Pressman                                                                                                                                                                                                          , PTO     , Public Submission, 2024-05-15T23:40:26Z
PTO-C-2024-0004-0027                , 2024-05-15T04:00:00Z, Comment by American Bar Association Intellectual Property Law Section                                                                                                                                                             , PTO     , Public Submission, 2024-05-15T23:21:22Z
PTO-C-2024-0004-0014                , 2024-05-09T04:00:00Z, Comment by AUTM                                                                                                                                                                                                                   , PTO     , Public Submission, 2024-05-09T17:18:04Z
EPA-HQ-OEJECR-2024-0146-0004        , 2024-05-09T04:00:00Z, "Comment submitted by Wired Broadband, Inc."                                                                                                                                                                                      , EPA     , Public Submission, 2024-05-10T03:48:55Z
EPA-HQ-OLEM-2024-0067-0117          , 2024-05-08T04:00:00Z, Comment submitted by Scio Township                                                                                                                                                                                                , EPA     , Public Submission, 2024-05-09T01:07:29Z
ITA-2024-0001-0005                  , 2024-05-06T04:00:00Z, Comment on FR Doc # 2024-02928                                                                                                                                                                                                    , ITA     , Public Submission, 2024-05-06T15:43:54Z
PTO-P-2020-0060-0003                , 2024-05-04T04:00:00Z, Comment by HTIA                                                                                                                                                                                                                   , PTO     , Public Submission, 2024-05-04T22:32:08Z
IRS-2024-0009-0021                  , 2024-05-02T04:00:00Z, "Comment from Kadet, Jeffery"                                                                                                                                                                                                     , IRS     , Public Submission, 2024-05-02T20:38:26Z
BIS-2023-0016-0036                  , 2024-04-30T04:00:00Z, Public comment 13 on ACS SME C and C IFR. Semiconductor Industry Association_SIA. 4-29-24                                                                                                                                         , BIS     , Public Submission, 2024-04-30T04:38:08Z
NOAA-HQ-2023-0146-0033              , 2024-04-29T04:00:00Z, Comment from Earthjustice                                                                                                                                                                                                         , NOAA    , Public Submission, 2024-04-29T06:24:15Z
USTR-2024-0002-0154                 , 2024-04-23T04:00:00Z, "Comment from Researchers, Carnegie Mellon University, Engineering and Public Policy Department and affiliates"                                                                                                                   , USTR    , Public Submission, 2024-04-23T12:29:30Z
DOJ-NSD-2024-0002-0055              , 2024-04-22T04:00:00Z, Comment on FR Doc # 2024-04594                                                                                                                                                                                                    , DOJ     , Public Submission, 2024-04-22T14:14:35Z
DOJ-NSD-2024-0002-0051              , 2024-04-22T04:00:00Z, Comment on FR Doc # 2024-04594                                                                                                                                                                                                    , DOJ     , Public Submission, 2024-04-22T13:50:54Z
FINCEN-2024-0006-0028               , 2024-04-15T04:00:00Z, Comment on FR Doc # 2024-02854                                                                                                                                                                                                    , FINCEN  , Public Submission, 2024-04-15T18:20:34Z
FINCEN-2024-0006-0038               , 2024-04-15T04:00:00Z, Comment on FR Doc # 2024-02854                                                                                                                                                                                                    , FINCEN  , Public Submission, 2024-04-15T21:01:49Z
FTC-2021-0022-0003                  , 2024-04-12T04:00:00Z, "Comment from Pierce , Latoyia"                                                                                                                                                                                                   , FTC     , Public Submission, 2024-04-12T18:08:58Z
ITA-2024-0001-0003                  , 2024-04-08T04:00:00Z, Comment on FR Doc # 2024-02928                                                                                                                                                                                                    , ITA     , Public Submission, 2024-04-08T12:19:21Z
ITA-2024-0001-0002                  , 2024-04-08T04:00:00Z, Comment on FR Doc # 2024-02928                                                                                                                                                                                                    , ITA     , Public Submission, 2024-04-08T12:19:17Z
EPA-HQ-OPPT-2018-0448-0459          , 2024-03-28T04:00:00Z, "Comment submitted by Beyond Plastics, Earthjustice, and Toxic-Free Future (Attachment 19)"                                                                                                                                       , EPA     , Public Submission, 2024-03-29T01:32:59Z
EPA-HQ-OPPT-2018-0448-0021          , 2024-03-21T04:00:00Z, Comment submitted by Earthjustice et al.                                                                                                                                                                                          , EPA     , Public Submission, 2024-03-22T00:59:01Z
NIST-2023-0005-0076                 , 2024-03-18T04:00:00Z, Comment on FR Doc # 2023-24444                                                                                                                                                                                                    , NIST    , Public Submission, 2024-03-18T14:41:11Z
NIST-2023-0005-0078                 , 2024-03-18T04:00:00Z, Comment on FR Doc # 2023-24444                                                                                                                                                                                                    , NIST    , Public Submission, 2024-03-18T14:41:12Z
NIST-2023-0005-0080                 , 2024-03-18T04:00:00Z, Comment on FR Doc # 2023-24444                                                                                                                                                                                                    , NIST    , Public Submission, 2024-03-18T14:41:13Z
NHTSA-2022-0079-17980               , 2024-03-06T05:00:00Z, Comment from Mothers Against Drunk Driving                                                                                                                                                                                        , NHTSA   , Public Submission, 2024-03-06T14:49:28Z
EPA-HQ-OAR-2023-0292-0234           , 2024-03-01T05:00:00Z, Comment submitted by Environmental and Public Health Organizations                                                                                                                                                                , EPA     , Public Submission, 2024-03-02T01:33:12Z
EPA-HQ-OAR-2023-0292-0235           , 2024-03-01T05:00:00Z, Comment submitted by California Office of the Attorney General et al.                                                                                                                                                             , EPA     , Public Submission, 2024-03-02T01:33:37Z
VA-2024-VBA-0006-0102               , 2024-02-29T05:00:00Z, "Comment on AR10-Proposed Rule-Bates, John"                                                                                                                                                                                       , VA      , Public Submission, 2024-02-29T13:11:22Z
EPA-HQ-OPPT-2023-0265-0046          , 2024-02-28T05:00:00Z, Comment submitted by Earthjustice et al. (Appendix Vol. 1 of 3)                                                                                                                                                                   , EPA     , Public Submission, 2024-02-29T02:20:28Z
NOAA-NMFS-2016-0131-0096            , 2024-02-28T05:00:00Z, Comment from Center for Biological Diversity                                                                                                                                                                                      , NOAA    , Public Submission, 2024-02-28T23:50:34Z
NIST-2023-0008-0798                 , 2024-02-23T05:00:00Z, Comment on FR Doc # 2023-26930                                                                                                                                                                                                    , NIST    , Public Submission, 2024-02-23T16:19:38Z
EPA-HQ-OPP-2023-0420-0258           , 2024-02-23T05:00:00Z, Comment submitted by Natural Resources Defense Council (NRDC) et al.                                                                                                                                                              , EPA     , Public Submission, 2024-02-24T01:32:31Z
VA-2024-VBA-0006-0068               , 2024-02-20T05:00:00Z, "Comment on AR10-Proposed Rule-Hanson, Harold"                                                                                                                                                                                    , VA      , Public Submission, 2024-02-20T21:10:33Z
NOAA-NMFS-2016-0131-0078            , 2024-02-20T05:00:00Z, Comment from Center for Biological Diversity                                                                                                                                                                                      , NOAA    , Public Submission, 2024-02-20T20:57:49Z
NIST-2023-0008-0716                 , 2024-02-14T05:00:00Z, Comment on FR Doc # 2023-26930                                                                                                                                                                                                    , NIST    , Public Submission, 2024-02-14T19:31:45Z
NIST-2023-0008-0693                 , 2024-02-13T05:00:00Z, Comment on FR Doc # 2023-26930                                                                                                                                                                                                    , NIST    , Public Submission, 2024-02-13T19:46:17Z
NIST-2023-0008-0647                 , 2024-02-12T05:00:00Z, Comment on FR Doc # 2023-26930                                                                                                                                                                                                    , NIST    , Public Submission, 2024-02-12T16:37:46Z
NIST-2023-0008-0595                 , 2024-02-08T05:00:00Z, Comment on FR Doc # 2023-26930                                                                                                                                                                                                    , NIST    , Public Submission, 2024-02-08T17:18:04Z
NIST-2023-0008-0583                 , 2024-02-08T05:00:00Z, Comment on FR Doc # 2023-26930                                                                                                                                                                                                    , NIST    , Public Submission, 2024-02-08T14:56:45Z
NIST-2023-0008-0561                 , 2024-02-07T05:00:00Z, Comment on FR Doc # 2023-26930                                                                                                                                                                                                    , NIST    , Public Submission, 2024-02-07T18:11:28Z
NIST-2023-0008-0574                 , 2024-02-07T05:00:00Z, Comment on FR Doc # 2023-26930                                                                                                                                                                                                    , NIST    , Public Submission, 2024-02-08T02:19:26Z
NIST-2023-0008-0536                 , 2024-02-05T05:00:00Z, Comment on FR Doc # 2023-26930                                                                                                                                                                                                    , NIST    , Public Submission, 2024-02-05T22:34:36Z
ITA-2023-0010-0094                  , 2024-02-02T05:00:00Z, Comment on FR Doc # 2023-23849                                                                                                                                                                                                    , ITA     , Public Submission, 2024-02-02T17:02:50Z
ITA-2023-0010-0099                  , 2024-02-02T05:00:00Z, Comment on FR Doc # 2023-23849                                                                                                                                                                                                    , ITA     , Public Submission, 2024-02-02T17:03:14Z
ITA-2023-0010-0098                  , 2024-02-02T05:00:00Z, Comment on FR Doc # 2023-23849                                                                                                                                                                                                    , ITA     , Public Submission, 2024-02-02T17:03:09Z
NIST-2023-0009-0037                 , 2024-02-01T05:00:00Z, Comment on FR Doc # 2023-28232                                                                                                                                                                                                    , NIST    , Public Submission, 2024-02-01T22:28:56Z
USTR-2023-0014-0025                 , 2024-01-31T05:00:00Z, Comment from United States Chamber of Commerce                                                                                                                                                                                    , USTR    , Public Submission, 2024-01-31T16:27:45Z
DHS-2023-0048-0005                  , 2024-01-30T05:00:00Z, Comment Submitted by Environmental Health Trust                                                                                                                                                                                   , DHS     , Public Submission, 2024-01-30T14:24:48Z
BIS-2022-0025-0074                  , 2024-01-29T05:00:00Z, Public comment 21 on ACS IFR. Semiconductor Industry Association_SIA. SIA. 1-17-23                                                                                                                                                , BIS     , Public Submission, 2024-01-29T05:10:59Z
BIS-2023-0016-0015                  , 2024-01-29T05:00:00Z, Public comment 13 on SME IFR. Semiconductor Industry Association_ SIA. SIA. 1-17-24                                                                                                                                               , BIS     , Public Submission, 2024-01-30T04:14:36Z
FINCEN-2023-0016-1990               , 2024-01-25T05:00:00Z, Comment on FR Doc # 2023-23449                                                                                                                                                                                                    , FINCEN  , Public Submission, 2024-01-25T16:28:56Z
DOE-HQ-2023-0067-0010               , 2024-01-10T05:00:00Z, Comment on FR Doc # 2023-26479                                                                                                                                                                                                    , DOE     , Public Submission, 2024-01-10T14:13:57Z
FS-2023-0014-1857                   , 2024-01-08T05:00:00Z, Comment on FR Doc # 2023-24341                                                                                                                                                                                                    , FS      , Public Submission, 2024-01-08T13:19:15Z
FTC-2023-0077-0107                  , 2024-01-05T05:00:00Z, "Comment from Hekel, Elijah"                                                                                                                                                                                                      , FTC     , Public Submission, 2024-01-05T20:54:09Z
EPA-HQ-OPP-2023-0513-0014           , 2024-01-02T05:00:00Z, Comment submitted by Center for Biological Diversity                                                                                                                                                                              , EPA     , Public Submission, 2024-01-03T01:35:37Z
EPA-HQ-OPP-2023-0506-0011           , 2023-12-28T05:00:00Z, Comment submitted by Center for Biological Diversity                                                                                                                                                                              , EPA     , Public Submission, 2023-12-29T01:34:22Z
OMB-2023-0021-0135                  , 2023-12-22T05:00:00Z, Comment on OMB-2023-0021-0001                                                                                                                                                                                                     , OMB     , Public Submission, 2023-12-22T16:30:16Z
OMB-2023-0021-0134                  , 2023-12-22T05:00:00Z, Comment on OMB-2023-0021-0001                                                                                                                                                                                                     , OMB     , Public Submission, 2023-12-22T16:29:58Z
USCIS-2023-0005-1311                , 2023-12-22T05:00:00Z, Duplicate Comment Submitted by Congresswoman Anna G. Eshoo                                                                                                                                                                        , USCIS   , Public Submission, 2023-12-23T04:10:15Z
USCIS-2023-0005-1256                , 2023-12-22T05:00:00Z, Comment Submitted by Congresswoman Anna G. Eshoo                                                                                                                                                                                  , USCIS   , Public Submission, 2023-12-22T21:29:32Z
USCIS-2023-0005-1141                , 2023-12-20T05:00:00Z, Comment Submitted by FWD.us                                                                                                                                                                                                       , USCIS   , Public Submission, 2023-12-20T17:43:54Z
BLM-2023-0006-89240                 , 2023-12-08T05:00:00Z, Comment on FR Doc # 2023-18990                                                                                                                                                                                                    , BLM     , Public Submission, 2023-12-08T12:51:02Z
BLM-2023-0006-89228                 , 2023-12-08T05:00:00Z, Comment on FR Doc # 2023-18990                                                                                                                                                                                                    , BLM     , Public Submission, 2023-12-08T12:50:52Z
BLM-2023-0006-89242                 , 2023-12-08T05:00:00Z, Comment on FR Doc # 2023-18990                                                                                                                                                                                                    , BLM     , Public Submission, 2023-12-08T12:51:03Z
BLM-2023-0006-89220                 , 2023-12-08T05:00:00Z, Comment on FR Doc # 2023-18990                                                                                                                                                                                                    , BLM     , Public Submission, 2023-12-08T12:50:46Z
BLM-2023-0006-89239                 , 2023-12-08T05:00:00Z, Comment on FR Doc # 2023-18990                                                                                                                                                                                                    , BLM     , Public Submission, 2023-12-08T12:51:01Z
